Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
Richard Fox,4.6,5,Information Science,1.0,4.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1803129,0.6679999999999999
Fred Otto,3.8,2,Poli-Science & Crim. Justice,0.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1640549,0.6679999999999999
Ed Workman,4.3,2,Construction Management,0.0,1.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1276643,0.6679999999999999
Ann Taylor,3.4,56,Communication,0.0,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/245018,0.6667368421052631
Jim Hughes,3.0,39,Business Informatics,0.5,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/611448,0.6664999999999999
Alix Pitra,3.9,4,English,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1068532,0.6659999999999999
Smita Ward,3.1,41,Psychology,0.35,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1765198,0.6638571428571427
Gary Scott,3.6,19,Business Informatics,0.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/946840,0.663
Alain Krapl,3.5,10,Not Specified,0.84,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1766183,0.6627272727272727
Katie Englert,3.9,17,Anthropology,0.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/865092,0.6613333333333333
Patricia Curran,3.5,12,English,0.0,2.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/850124,0.660923076923077
Marla Cordray,4.0,4,Mathematics,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1594837,0.6599999999999999
Janis Broering,4.0,30,Mathematics,0.0,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/508613,0.6563225806451614
Ann Hamill,3.1,43,Sociology,0.5,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1359834,0.6551818181818181
Nathan Gabriel,4.3,3,Theater,0.67,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2254431,0.652
Suzanne Deluca,4.5,2,History,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1716385,0.65
Barry Rost,3.1,9,Learning Assistance,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/860612,0.648
Mel Petersen,4.3,2,Statistics,1.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2134042,0.648
Rachel Noll,3.6,24,Education,0.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1286244,0.6479999999999999
Jan Gallagher,3.3,40,Philosophy,0.0,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/614738,0.6466829268292682
